SEASON_ID,W_PCT
12003,0.0
12004,0.0
12005,0.75
12006,0.5
12007,0.3329999999999999
12008,0.75
12009,0.75
12010,0.5
12011,0.0
12012,0.0
12013,0.5
12014,0.375
12015,0.375
12016,0.25
12017,0.3329999999999999
12018,0.5
12019,0.667
12020,1.0
12021,0.0
12022,0.167
22002,0.61
22003,0.6829999999999999
22004,0.415
22005,0.5489999999999999
22006,0.512
22007,0.695
22008,0.7929999999999999
22009,0.695
22010,0.695
22011,0.621
22012,0.5489999999999999
22013,0.3289999999999999
22014,0.256
22015,0.207
22016,0.317


SEASON_ID   W_PCT
22017       0.4270000000000001
22018       0.451
22019       0.732
22020       0.583
22021       0.402
PORCENTAGEM ESPERADA PARA A SEASON 22022: 0.519
PORCENTAGEM REAL: 0.419
